,R5_111.43,R5_131.35,R5_152.72,R5_164.22,R5_167.8,R5_181.31,R90_2.79,R90_11.64,R405_0.0,R405_2.26,R405_10.93,R405_14.83,R405_30.21,R520_0.0,R520_6.93,R5_100.93,R5_218.33,R90_1.94,R90_25.37,R405_30.32,R520_12.83,R5_104.81,R5_127.13,R5_133.66
R405_2.26,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R405_10.93,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R405_14.83,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R405_30.21,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,5474.135931047236,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R520_0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,5474.135931047236,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R520_6.93,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R5_100.93,11828.798750974667,14851.821625152492,253.50996376811594,14197.816744257852,14197.816744257852,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,21329.48261717744,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,6915.517060834843,3495.3791941474665,3764.7889266256884
R5_218.33,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,15838.147772951472,253.50996376811594,253.50996376811594,253.50996376811594
R90_1.94,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,4337.889859452094,253.50996376811594,4337.889859452094,253.50996376811594,4337.889859452094,4337.889859452094,4337.889859452094,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,6680.799720881874,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R90_25.37,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
R405_30.32,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594,0.0,253.50996376811594,253.50996376811594,253.50996376811594,253.50996376811594
